2022-05-20 13:05:177 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:294 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> xpath: //select[@id='models']]
2022-05-20 13:05:339 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:385 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:207 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> id: search-submit]
2022-05-20 13:05:890 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:636 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:720 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> link text: Used]
2022-05-20 13:05:192 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:322 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> xpath: //select[@id='models']]
2022-05-20 13:05:371 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:426 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:299 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (df7d5fae55883ed42fe022846e9e01ef)] -> id: search-submit]
2022-05-20 13:05:954 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:551 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:624 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> link text: Used]
2022-05-20 13:05:360 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:454 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> xpath: //select[@id='models']]
2022-05-20 13:05:500 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:543 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (231cc5a6ea7fa4dde11a907a3ae5b8bd)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:809 INFO  ManageDriver :32 - Launching Chrome Browser
